reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
antenna='3&17' scan='1' timerange='2016/05/14/04:54:16~2016/05/14/04:56:43' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='17&23' scan='1' timerange='2016/05/14/05:00:59~2016/05/14/05:02:54' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='13&17' scan='1' timerange='2016/05/14/04:55:37~2016/05/14/04:58:04' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='7' timerange='2016/05/14/07:26:28~2016/05/14/07:28:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='7' timerange='2016/05/14/07:27:49~2016/05/14/07:30:16' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='2'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='2'
antenna='6&23' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='5&8' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='5&8' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='5&8' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='23&25' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='22&23' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='22&23' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&11' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&8' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&8' scan='2' timerange='2016/05/14/05:13:20~2016/05/14/05:15:47' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&8' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&8' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='14&23' scan='2' timerange='2016/05/14/05:16:01~2016/05/14/05:17:39' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='11&23' scan='2' timerange='2016/05/14/05:14:40~2016/05/14/05:17:07' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='2&6' scan='2' timerange='2016/05/14/05:11:59~2016/05/14/05:14:26' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
